plot,character,creativity,development,language,overall_quality,options,texts,scifi,fantasy,romance,historical
base3b,base3b,base3b,base3b,base3b,base3b,"base3b,basewr_3b","(80, 81)",False,True,True,False
basewr_3b,base3b,basewr_3b,base3b,base3b,base3b,"base3b,basewr_3b","(82, 83)",False,False,False,True
base3b,base3b,base3b,base3b,base3b,base3b,"base3b,basewr_3b","(84, 85)",False,False,False,True
same,basewr_3b,same,base3b,basewr_3b,base3b,"base3b,basewr_3b","(86, 87)",True,False,False,False
base3b,basewr_3b,basewr_3b,basewr_3b,basewr_3b,basewr_3b,"base3b,basewr_3b","(88, 89)",True,False,False,False
base3b,base3b,base3b,base3b,base3b,base3b,"base3b,basewr_3b","(90, 91)",False,True,True,False
base3b,base3b,base3b,base3b,base3b,base3b,"base3b,basewr_3b","(92, 93)",False,False,False,True
basewr_3b,basewr_3b,basewr_3b,basewr_3b,basewr_3b,basewr_3b,"base3b,basewr_3b","(94, 95)",False,True,False,True
basewr_3b,basewr_3b,basewr_3b,basewr_3b,same,basewr_3b,"base3b,basewr_3b","(96, 97)",True,False,False,False
base3b,same,base3b,same,basewr_3b,basewr_3b,"base3b,basewr_3b","(98, 99)",False,False,False,True
basewr_3b,basewr_3b,basewr_3b,basewr_3b,basewr_3b,basewr_3b,"base3b,basewr_3b","(100, 101)",False,True,True,False
basewr_3b,base3b,base3b,base3b,basewr_3b,base3b,"base3b,basewr_3b","(102, 103)",False,True,True,False
basewr_3b,basewr_3b,basewr_3b,basewr_3b,same,basewr_3b,"base3b,basewr_3b","(104, 105)",True,False,False,False
basewr_3b,same,basewr_3b,basewr_3b,basewr_3b,basewr_3b,"base3b,basewr_3b","(106, 107)",True,False,False,False
same,base3b,basewr_3b,basewr_3b,basewr_3b,basewr_3b,"base3b,basewr_3b","(108, 109)",False,True,False,True
base3b,base3b,basewr_3b,basewr_3b,base3b,base3b,"base3b,basewr_3b","(110, 111)",False,True,False,True
basewr_3b,basewr_3b,basewr_3b,basewr_3b,same,basewr_3b,"base3b,basewr_3b","(112, 113)",False,True,False,True
same,same,basewr_3b,basewr_3b,basewr_3b,basewr_3b,"base3b,basewr_3b","(114, 115)",False,True,False,True
basewr_3b,basewr_3b,same,same,same,basewr_3b,"base3b,basewr_3b","(116, 117)",False,True,True,False
basewr_3b,basewr_3b,basewr_3b,basewr_3b,basewr_3b,basewr_3b,"base3b,basewr_3b","(118, 119)",False,False,False,True
base3b,base3b,same,base3b,base3b,same,"base3b,basesft_3b","(114, 120)",False,True,False,True
basewr_3b,basewr_3b,same,same,basewr_3b,basewr_3b,"basesft_3b,basewr_3b","(90, 121)",False,True,True,False
basewr_3b,basewr_3b,basewr_3b,basewr_3b,basesft_3b,basewr_3b,"basesft_3b,basewr_3b","(116, 122)",False,True,True,False
basewr_3b,basewr_3b,basewr_3b,basewr_3b,basewr_3b,basewr_3b,"basesft_3b,basewr_3b","(115, 120)",False,True,False,True
basewr_3b,basewr_3b,basewr_3b,basewr_3b,basewr_3b,basewr_3b,"basesft_3b,basewr_3b","(101, 123)",False,True,True,False
base3b,base3b,base3b,base3b,base3b,base3b,"base3b,basesft_3b","(102, 124)",False,True,True,False
base3b,base3b,base3b,base3b,base3b,base3b,"base3b,basesft_3b","(92, 125)",False,False,False,True
base3b,base3b,base3b,base3b,base3b,base3b,"base3b,basesft_3b","(96, 126)",True,False,False,False
same,basewr_3b,same,basesft_3b,same,basewr_3b,"basesft_3b,basewr_3b","(113, 127)",False,True,False,True
base3b,base3b,base3b,base3b,base3b,base3b,"base3b,basesft_3b","(128, 99)",False,False,False,True
basewr_3b,basewr_3b,basewr_3b,basewr_3b,basewr_3b,basewr_3b,"basesft_3b,basewr_3b","(81, 129)",False,True,True,False
basewr_3b,basewr_3b,basewr_3b,basewr_3b,basewr_3b,basewr_3b,"basesft_3b,basewr_3b","(97, 126)",True,False,False,False
same,same,same,same,basesft_3b,same,"base3b,basesft_3b","(118, 130)",False,False,False,True
basesft_3b,basesft_3b,basesft_3b,basesft_3b,basesft_3b,basesft_3b,"basesft_3b,basewr_3b","(84, 131)",False,False,False,True
basewr_3b,basewr_3b,basewr_3b,basewr_3b,basewr_3b,basewr_3b,"basesft_3b,basewr_3b","(93, 125)",False,False,False,True
basewr_3b,basewr_3b,basewr_3b,basewr_3b,basewr_3b,basewr_3b,"basesft_3b,basewr_3b","(87, 132)",True,False,False,False
base3b,base3b,base3b,base3b,base3b,base3b,"base3b,basesft_3b","(133, 83)",False,False,False,True
base3b,same,base3b,base3b,base3b,base3b,"base3b,basesft_3b","(112, 127)",False,True,False,True
base3b,base3b,base3b,base3b,base3b,base3b,"base3b,basesft_3b","(86, 132)",True,False,False,False
base3b,base3b,base3b,base3b,base3b,base3b,"base3b,basesft_3b","(104, 134)",True,False,False,False
same,base3b,base3b,base3b,base3b,base3b,"base3b,basesft_3b","(111, 135)",False,True,False,True
basewr_3b,basewr_3b,basewr_3b,basewr_3b,basewr_3b,basewr_3b,"basesft_3b,basewr_3b","(110, 135)",False,True,False,True
base3b,base3b,base3b,base3b,base3b,base3b,"base3b,basesft_3b","(108, 136)",False,True,False,True
base3b,base3b,base3b,base3b,base3b,base3b,"base3b,basesft_3b","(106, 137)",True,False,False,False
basewr_3b,basesft_3b,basewr_3b,basesft_3b,basewr_3b,basewr_3b,"basesft_3b,basewr_3b","(95, 138)",False,True,False,True
basesft_3b,basesft_3b,basesft_3b,basesft_3b,basesft_3b,basesft_3b,"basesft_3b,basewr_3b","(105, 134)",True,False,False,False
base3b,base3b,base3b,basesft_3b,base3b,base3b,"base3b,basesft_3b","(94, 138)",False,True,False,True
base3b,base3b,basesft_3b,base3b,basesft_3b,base3b,"base3b,basesft_3b","(100, 123)",False,True,True,False
basewr_3b,basewr_3b,basewr_3b,basewr_3b,basewr_3b,basewr_3b,"basesft_3b,basewr_3b","(82, 133)",False,False,False,True
basewr_3b,basewr_3b,basesft_3b,basewr_3b,basewr_3b,basewr_3b,"basesft_3b,basewr_3b","(109, 136)",False,True,False,True
basewr_3b,basewr_3b,basewr_3b,basewr_3b,basewr_3b,basewr_3b,"basesft_3b,basewr_3b","(107, 137)",True,False,False,False
base3b,base3b,base3b,base3b,base3b,base3b,"base3b,basesft_3b","(88, 139)",True,False,False,False
basesft_3b,basesft_3b,basesft_3b,basesft_3b,basesft_3b,basesft_3b,"base3b,basesft_3b","(85, 131)",False,False,False,True
base3b,basesft_3b,basesft_3b,basesft_3b,base3b,base3b,"base3b,basesft_3b","(117, 122)",False,True,True,False
basewr_3b,basewr_3b,basewr_3b,basewr_3b,basewr_3b,basewr_3b,"basesft_3b,basewr_3b","(89, 139)",True,False,False,False
basewr_3b,basewr_3b,basewr_3b,basewr_3b,basewr_3b,basewr_3b,"basesft_3b,basewr_3b","(103, 124)",False,True,True,False
base3b,basesft_3b,same,basesft_3b,base3b,same,"base3b,basesft_3b","(91, 121)",False,True,True,False
same,basewr_3b,basewr_3b,basewr_3b,basewr_3b,basewr_3b,"basesft_3b,basewr_3b","(98, 128)",False,False,False,True
base3b,same,base3b,same,base3b,base3b,"base3b,basesft_3b","(80, 129)",False,True,True,False
basesft_3b,basesft_3b,basesft_3b,basesft_3b,basesft_3b,basesft_3b,"basesft_3b,basewr_3b","(119, 130)",False,False,False,True
same,trained_3b,same,same,trained_3b,same,"basewr_3b,trained_3b","(103, 140)",False,True,True,False
base3b,base3b,base3b,base3b,same,base3b,"base3b,trained_3b","(108, 141)",False,True,False,True
trained_3b,trained_3b,trained_3b,trained_3b,trained_3b,trained_3b,"basesft_3b,trained_3b","(142, 125)",False,False,False,True
trained_3b,trained_3b,trained_3b,trained_3b,trained_3b,trained_3b,"basesft_3b,trained_3b","(143, 129)",False,True,True,False
trained_3b,trained_3b,trained_3b,trained_3b,trained_3b,trained_3b,"basesft_3b,trained_3b","(144, 126)",True,False,False,False
trained_3b,trained_3b,trained_3b,trained_3b,trained_3b,trained_3b,"basesft_3b,trained_3b","(145, 135)",False,True,False,True
same,same,same,basewr_3b,same,same,"basewr_3b,trained_3b","(84, 146)",False,False,False,True
basewr_3b,basewr_3b,basewr_3b,basewr_3b,basewr_3b,basewr_3b,"basewr_3b,trained_3b","(143, 81)",False,True,True,False
same,same,basewr_3b,basewr_3b,basewr_3b,basewr_3b,"basewr_3b,trained_3b","(82, 147)",False,False,False,True
same,same,basewr_3b,same,trained_3b,same,"basewr_3b,trained_3b","(142, 93)",False,False,False,True
basewr_3b,basewr_3b,basewr_3b,basewr_3b,basewr_3b,basewr_3b,"basewr_3b,trained_3b","(148, 113)",False,True,False,True
base3b,base3b,base3b,trained_3b,base3b,base3b,"base3b,trained_3b","(149, 104)",True,False,False,False
same,same,same,same,base3b,same,"base3b,trained_3b","(150, 117)",False,True,True,False
trained_3b,trained_3b,same,same,trained_3b,trained_3b,"basesft_3b,trained_3b","(140, 124)",False,True,True,False
same,same,same,same,trained_3b,same,"base3b,trained_3b","(151, 94)",False,True,False,True
basewr_3b,same,basewr_3b,basewr_3b,basewr_3b,basewr_3b,"basewr_3b,trained_3b","(152, 119)",False,False,False,True
basewr_3b,basewr_3b,same,basewr_3b,basewr_3b,basewr_3b,"basewr_3b,trained_3b","(90, 153)",False,True,True,False
trained_3b,trained_3b,trained_3b,trained_3b,trained_3b,trained_3b,"basesft_3b,trained_3b","(141, 136)",False,True,False,True
trained_3b,trained_3b,trained_3b,same,trained_3b,trained_3b,"base3b,trained_3b","(114, 154)",False,True,False,True
basewr_3b,trained_3b,trained_3b,trained_3b,trained_3b,trained_3b,"basewr_3b,trained_3b","(155, 107)",True,False,False,False
base3b,base3b,base3b,base3b,base3b,base3b,"base3b,trained_3b","(156, 99)",False,False,False,True
same,trained_3b,same,same,base3b,trained_3b,"base3b,trained_3b","(157, 88)",True,False,False,False
base3b,base3b,same,base3b,same,base3b,"base3b,trained_3b","(102, 140)",False,True,True,False
basesft_3b,trained_3b,basesft_3b,basesft_3b,basesft_3b,same,"basesft_3b,trained_3b","(147, 133)",False,False,False,True
trained_3b,trained_3b,basewr_3b,trained_3b,basewr_3b,trained_3b,"basewr_3b,trained_3b","(115, 154)",False,True,False,True
trained_3b,base3b,trained_3b,trained_3b,trained_3b,trained_3b,"base3b,trained_3b","(155, 106)",True,False,False,False
same,trained_3b,trained_3b,same,trained_3b,trained_3b,"basesft_3b,trained_3b","(149, 134)",True,False,False,False
same,base3b,same,base3b,base3b,base3b,"base3b,trained_3b","(145, 111)",False,True,False,True
trained_3b,trained_3b,trained_3b,trained_3b,trained_3b,trained_3b,"basewr_3b,trained_3b","(144, 97)",True,False,False,False
trained_3b,trained_3b,same,same,same,trained_3b,"basewr_3b,trained_3b","(156, 98)",False,False,False,True
trained_3b,same,basesft_3b,same,trained_3b,same,"basesft_3b,trained_3b","(153, 121)",False,True,True,False
same,same,trained_3b,trained_3b,trained_3b,trained_3b,"basewr_3b,trained_3b","(145, 110)",False,True,False,True
trained_3b,trained_3b,same,trained_3b,trained_3b,trained_3b,"basesft_3b,trained_3b","(150, 122)",False,True,True,False
trained_3b,trained_3b,trained_3b,trained_3b,trained_3b,trained_3b,"basesft_3b,trained_3b","(158, 123)",False,True,True,False
trained_3b,trained_3b,trained_3b,trained_3b,trained_3b,trained_3b,"basesft_3b,trained_3b","(155, 137)",True,False,False,False
